Task Name,Category,Action,Priority,Estimated Time (mins),Actual Time (mins),Completion Percentage,Due Date,Time Spent (mins),Status,Quality
Sprint planning,Work,Discuss project progress,Medium,82,52,0.97,2023-03-30 15:00:00,80,Under,Good
Debugging,Work,Network with peers,Low,146,183,0.72,2023-03-28 10:00:00,100,Over,Fair
Writing technical documentation,Work,Write technical document,Low,181,140,0.75,2023-04-02 10:00:00,270,Under,Good
Writing technical documentation,Work,Learn new programming language,High,102,104,0.9,2023-04-04 11:00:00,110,Over,Good
Sprint planning,Learning,Learn new skills,Medium,72,90,0.61,2023-03-28 14:00:00,250,Over,Fair
Attend team meeting,Learning,Discuss project progress,Medium,74,60,0.8,2023-04-05 18:00:00,170,Under,Good
Code review,Learning,Network with peers,Medium,204,279,0.64,2023-03-30 14:00:00,80,Over,Fair
Code review,Learning,Write technical document,Low,36,19,0.7,2023-03-28 14:00:00,210,Under,Fair
Sprint planning,Learning,Refactor existing code,Low,42,31,0.94,2023-04-01 12:00:00,55,Under,Good
Writing technical documentation,Learning,Learn new programming language,Low,71,83,0.92,2023-04-04 11:00:00,210,Over,Good
Attend team meeting,Work,Submit a functioning solution,Medium,148,83,0.81,2023-03-30 14:00:00,110,Under,Good
Code refactoring,Work,Network with peers,Low,174,165,0.83,2023-04-04 11:00:00,170,Under,Good
Pair programming,Learning,Plan upcoming sprint,Low,46,59,1.0,2023-04-05 18:00:00,55,Over,Good
Sprint planning,Learning,Write technical document,Medium,84,75,0.97,2023-03-30 15:00:00,130,Under,Good
Code refactoring,Work,Learn new skills,Low,101,147,0.6,2023-04-02 10:00:00,320,Over,Fair
Debugging,Learning,Refactor existing code,Medium,137,205,0.84,2023-03-30 14:00:00,170,Over,Good
Code review,Work,Network with peers,Medium,35,28,0.65,2023-03-30 14:00:00,320,Under,Fair
Complete coding challenge,Work,Submit a functioning solution,Medium,159,147,0.64,2023-03-31 16:00:00,100,Under,Fair
Attending training session,Work,Submit a functioning solution,Medium,50,42,0.63,2023-04-02 10:00:00,320,Under,Fair
Attending training session,Learning,Learn new programming language,Medium,74,99,0.81,2023-03-30 15:00:00,320,Over,Good
Writing technical documentation,Learning,Fix errors in code,High,59,87,0.91,2023-03-29 11:00:00,220,Over,Good
Writing technical documentation,Learning,Write technical document,Low,224,313,0.99,2023-03-30 15:00:00,420,Over,Good
Pair programming,Learning,Code collaboratively,High,112,69,0.67,2023-03-29 11:00:00,250,Under,Fair
Attend team meeting,Work,Discuss project progress,Low,41,51,0.88,2023-03-28 10:00:00,190,Over,Good
Code refactoring,Work,Fix errors in code,High,86,122,0.89,2023-04-02 10:00:00,190,Over,Good
Learning new technology,Learning,Fix errors in code,Medium,165,220,0.71,2023-03-29 17:00:00,350,Over,Fair
Attending training session,Learning,Review code changes,Low,138,96,0.72,2023-04-04 11:00:00,220,Under,Fair
Complete coding challenge,Learning,Review code changes,High,176,111,0.61,2023-03-31 16:00:00,320,Under,Fair
Writing technical documentation,Learning,Discuss project progress,Low,51,36,0.8,2023-04-05 18:00:00,210,Under,Good
Debugging,Work,Write technical document,Medium,216,188,0.9,2023-03-29 17:00:00,350,Under,Good
Attend team meeting,Work,Review code changes,High,111,101,0.97,2023-04-04 11:00:00,270,Under,Good
Learning new technology,Learning,Learn new skills,Medium,200,194,0.97,2023-04-05 18:00:00,350,Under,Good
Learning new technology,Learning,Discuss project progress,Low,156,84,0.98,2023-04-02 10:00:00,250,Under,Good
Writing technical documentation,Learning,Learn new programming language,High,115,133,0.78,2023-03-28 14:00:00,55,Over,Good
Code review,Work,Submit a functioning solution,Medium,207,271,0.82,2023-04-04 11:00:00,100,Over,Good
Sprint planning,Learning,Refactor existing code,High,163,168,0.82,2023-03-31 16:00:00,320,Over,Good
Sprint planning,Learning,Submit a functioning solution,Medium,54,52,0.81,2023-03-30 15:00:00,55,Under,Good
Debugging,Work,Learn new skills,Medium,186,221,0.69,2023-04-05 18:00:00,220,Over,Fair
Attend team meeting,Work,Learn new programming language,Medium,58,71,0.85,2023-03-30 14:00:00,80,Over,Good
Pair programming,Work,Learn new programming language,Low,67,75,0.98,2023-03-28 10:00:00,190,Over,Good
Code review,Work,Discuss project progress,Low,146,174,0.83,2023-03-30 15:00:00,80,Over,Good
Code refactoring,Learning,Discuss project progress,Low,83,76,0.93,2023-04-05 18:00:00,270,Under,Good
Complete coding challenge,Learning,Plan upcoming sprint,High,147,158,0.65,2023-04-01 12:00:00,420,Over,Fair
Learning new technology,Learning,Submit a functioning solution,High,205,159,0.91,2023-03-31 16:00:00,250,Under,Good
Learning new technology,Work,Learn new skills,Low,160,158,0.76,2023-03-30 15:00:00,170,Under,Good
Attend team meeting,Work,Plan upcoming sprint,High,72,73,1.0,2023-03-28 10:00:00,320,Over,Good
Code refactoring,Learning,Write technical document,Medium,95,129,0.91,2023-03-30 15:00:00,80,Over,Good
Learning new technology,Learning,Learn new programming language,High,135,116,0.98,2023-03-28 10:00:00,55,Under,Good
Code review,Work,Learn new programming language,Medium,201,141,0.67,2023-03-30 14:00:00,55,Under,Fair
Writing technical documentation,Learning,Plan upcoming sprint,Low,202,276,0.61,2023-04-05 18:00:00,190,Over,Fair
Code review,Learning,Refactor existing code,High,212,164,0.79,2023-03-29 17:00:00,110,Under,Good
Learning new technology,Work,Code collaboratively,High,160,218,0.67,2023-03-31 16:00:00,55,Over,Fair
Attending conference,Work,Code collaboratively,Medium,51,56,0.95,2023-04-05 18:00:00,270,Over,Good
Pair programming,Work,Submit a functioning solution,High,217,257,0.84,2023-03-29 17:00:00,80,Over,Good
Code review,Learning,Fix errors in code,Medium,80,42,0.79,2023-03-29 17:00:00,210,Under,Good
Complete coding challenge,Work,Plan upcoming sprint,High,200,199,0.97,2023-04-04 11:00:00,210,Under,Good
Debugging,Learning,Write technical document,Low,81,99,0.77,2023-04-04 11:00:00,320,Over,Good
Sprint planning,Work,Review code changes,Low,129,135,1.0,2023-04-02 10:00:00,170,Over,Good
Attending training session,Learning,Review code changes,High,65,64,0.65,2023-03-28 14:00:00,210,Under,Fair
Writing technical documentation,Work,Review code changes,Low,185,240,0.92,2023-04-01 12:00:00,55,Over,Good
Sprint planning,Learning,Plan upcoming sprint,Medium,73,44,0.76,2023-03-29 17:00:00,420,Under,Good
Learning new technology,Work,Discuss project progress,Low,135,131,0.86,2023-03-30 14:00:00,420,Under,Good
Attend team meeting,Work,Learn new skills,Low,221,198,0.63,2023-03-31 16:00:00,100,Under,Fair
Sprint planning,Learning,Network with peers,Low,38,50,0.79,2023-03-29 17:00:00,110,Over,Good
Code refactoring,Work,Review code changes,Medium,104,111,0.94,2023-03-30 14:00:00,110,Over,Good
Debugging,Learning,Learn new skills,Medium,186,244,0.8,2023-04-04 11:00:00,130,Over,Good
Attend team meeting,Learning,Learn new skills,Low,141,173,0.76,2023-03-30 15:00:00,270,Over,Good
Writing technical documentation,Learning,Network with peers,Medium,41,57,0.99,2023-03-28 10:00:00,270,Over,Good
Code review,Learning,Write technical document,High,164,228,0.69,2023-03-29 17:00:00,170,Over,Fair
Debugging,Learning,Submit a functioning solution,Low,135,180,0.63,2023-04-05 18:00:00,170,Over,Fair
Debugging,Work,Refactor existing code,High,93,48,0.99,2023-04-01 12:00:00,420,Under,Good
Attending conference,Work,Review code changes,Medium,232,221,0.88,2023-04-02 10:00:00,250,Under,Good
Attend team meeting,Work,Learn new programming language,Medium,127,83,0.61,2023-03-29 11:00:00,320,Under,Fair
Code refactoring,Learning,Refactor existing code,Low,231,296,0.65,2023-03-31 16:00:00,130,Over,Fair
Code refactoring,Learning,Discuss project progress,Medium,197,201,0.86,2023-04-04 11:00:00,130,Over,Good
Attending training session,Work,Write technical document,Medium,162,144,0.84,2023-04-04 11:00:00,220,Under,Good
Attend team meeting,Learning,Network with peers,Low,62,83,0.88,2023-04-05 18:00:00,130,Over,Good
Learning new technology,Learning,Submit a functioning solution,Medium,228,300,0.74,2023-04-01 12:00:00,80,Over,Fair
Attending conference,Work,Plan upcoming sprint,Low,230,155,0.71,2023-03-28 10:00:00,210,Under,Fair
Attending training session,Work,Network with peers,High,43,63,0.87,2023-03-28 14:00:00,350,Over,Good
Attending conference,Learning,Network with peers,High,40,34,0.77,2023-04-01 12:00:00,110,Under,Good
Complete coding challenge,Work,Write technical document,High,86,90,0.69,2023-04-01 12:00:00,250,Over,Fair
Debugging,Learning,Refactor existing code,Low,204,159,0.64,2023-03-29 17:00:00,110,Under,Fair
Sprint planning,Learning,Submit a functioning solution,Medium,104,111,0.82,2023-04-05 18:00:00,420,Over,Good
Code refactoring,Work,Learn new programming language,Low,104,112,0.93,2023-04-01 12:00:00,130,Over,Good
Attending conference,Work,Refactor existing code,Medium,67,95,0.95,2023-04-05 18:00:00,55,Over,Good
Complete coding challenge,Learning,Review code changes,Medium,116,97,0.66,2023-03-31 16:00:00,270,Under,Fair
Attending conference,Work,Discuss project progress,Medium,215,256,0.95,2023-03-28 10:00:00,170,Over,Good
Writing technical documentation,Work,Refactor existing code,Low,90,131,0.66,2023-03-28 14:00:00,190,Over,Fair
Learning new technology,Work,Refactor existing code,Low,58,54,0.93,2023-03-29 11:00:00,350,Under,Good
Writing technical documentation,Learning,Write technical document,Low,57,77,0.67,2023-04-01 12:00:00,220,Over,Fair
Learning new technology,Learning,Code collaboratively,High,48,60,0.66,2023-03-29 11:00:00,270,Over,Fair
Code refactoring,Learning,Submit a functioning solution,Low,82,57,0.97,2023-04-01 12:00:00,130,Under,Good
Learning new technology,Work,Write technical document,Medium,115,149,0.95,2023-04-05 18:00:00,190,Over,Good
Writing technical documentation,Work,Refactor existing code,Low,61,64,0.94,2023-03-28 14:00:00,270,Over,Good
Attend team meeting,Work,Refactor existing code,High,233,260,0.79,2023-04-05 18:00:00,55,Over,Good
Code review,Work,Fix errors in code,Medium,108,127,0.62,2023-03-29 17:00:00,80,Over,Fair
Sprint planning,Work,Review code changes,Medium,134,131,0.6,2023-04-02 10:00:00,320,Under,Fair
Pair programming,Work,Refactor existing code,High,188,133,0.77,2023-03-31 16:00:00,80,Under,Good
Attending training session,Learning,Write technical document,Low,55,56,0.66,2023-03-31 16:00:00,420,Over,Fair
Code refactoring,Work,Learn new skills,Medium,50,68,0.74,2023-04-04 11:00:00,420,Over,Fair
Sprint planning,Work,Submit a functioning solution,Medium,98,70,0.81,2023-04-05 18:00:00,350,Under,Good
Complete coding challenge,Learning,Fix errors in code,Low,105,54,0.84,2023-03-30 15:00:00,350,Under,Good
Learning new technology,Work,Write technical document,Low,146,204,0.97,2023-03-29 17:00:00,210,Over,Good
Complete coding challenge,Learning,Code collaboratively,High,64,91,0.65,2023-03-30 15:00:00,350,Over,Fair
Pair programming,Work,Submit a functioning solution,Medium,237,212,0.6,2023-03-28 10:00:00,350,Under,Fair
Sprint planning,Learning,Learn new skills,Low,177,184,0.74,2023-03-28 10:00:00,110,Over,Fair
Learning new technology,Work,Code collaboratively,Medium,85,98,0.84,2023-03-29 17:00:00,220,Over,Good
Learning new technology,Learning,Network with peers,Low,81,42,0.69,2023-03-28 14:00:00,270,Under,Fair
Attending training session,Work,Plan upcoming sprint,Low,113,151,0.79,2023-04-05 18:00:00,110,Over,Good
Attending conference,Learning,Network with peers,Low,228,176,0.97,2023-04-05 18:00:00,170,Under,Good
Debugging,Learning,Network with peers,Low,166,84,0.95,2023-03-31 16:00:00,350,Under,Good
Code review,Work,Submit a functioning solution,Medium,93,132,0.81,2023-03-31 16:00:00,210,Over,Good
Debugging,Work,Learn new skills,High,199,155,0.88,2023-04-01 12:00:00,420,Under,Good
Attending conference,Work,Plan upcoming sprint,High,104,115,1.0,2023-03-30 14:00:00,270,Over,Good
Attending conference,Work,Write technical document,Medium,182,236,0.94,2023-03-30 15:00:00,170,Over,Good
Complete coding challenge,Learning,Submit a functioning solution,Medium,224,141,0.63,2023-04-02 10:00:00,110,Under,Fair
Code review,Learning,Plan upcoming sprint,Medium,49,26,0.62,2023-04-01 12:00:00,210,Under,Fair
Code review,Work,Review code changes,Low,40,47,0.89,2023-03-29 17:00:00,80,Over,Good
Complete coding challenge,Work,Learn new programming language,Low,127,166,0.67,2023-03-28 10:00:00,420,Over,Fair
Sprint planning,Learning,Learn new programming language,Medium,220,124,0.67,2023-03-28 10:00:00,130,Under,Fair
Attending conference,Learning,Plan upcoming sprint,High,164,176,0.87,2023-04-02 10:00:00,420,Over,Good
Learning new technology,Work,Write technical document,Low,161,86,0.74,2023-04-04 11:00:00,250,Under,Fair
Complete coding challenge,Learning,Fix errors in code,Low,192,127,0.84,2023-03-30 14:00:00,190,Under,Good
Code refactoring,Learning,Learn new programming language,Medium,165,238,0.9,2023-04-05 18:00:00,250,Over,Good
Complete coding challenge,Work,Code collaboratively,Medium,30,44,0.67,2023-04-02 10:00:00,220,Over,Fair
Code review,Work,Discuss project progress,Medium,83,92,0.99,2023-04-01 12:00:00,350,Over,Good
Debugging,Work,Learn new skills,Medium,43,54,0.66,2023-03-28 10:00:00,250,Over,Fair
Code refactoring,Learning,Code collaboratively,High,235,135,0.69,2023-03-30 15:00:00,420,Under,Fair
Complete coding challenge,Work,Plan upcoming sprint,High,133,146,0.74,2023-03-28 14:00:00,100,Over,Fair
Code review,Learning,Learn new programming language,High,42,44,0.93,2023-04-02 10:00:00,350,Over,Good
Code refactoring,Learning,Refactor existing code,Medium,89,70,0.99,2023-03-28 14:00:00,320,Under,Good
Sprint planning,Work,Refactor existing code,High,113,162,0.74,2023-04-01 12:00:00,130,Over,Fair
Code refactoring,Work,Plan upcoming sprint,Low,185,97,0.61,2023-03-30 14:00:00,250,Under,Fair
Attend team meeting,Work,Network with peers,High,128,109,0.88,2023-03-29 11:00:00,130,Under,Good
Code refactoring,Learning,Review code changes,Low,198,199,0.91,2023-03-29 17:00:00,110,Over,Good
Learning new technology,Learning,Discuss project progress,Medium,70,55,0.77,2023-04-05 18:00:00,420,Under,Good
Pair programming,Learning,Learn new skills,Medium,137,129,0.68,2023-04-05 18:00:00,220,Under,Fair
Attend team meeting,Work,Code collaboratively,Low,120,109,0.68,2023-03-30 14:00:00,220,Under,Fair
Debugging,Work,Learn new skills,Medium,90,56,0.91,2023-03-28 14:00:00,270,Under,Good
Debugging,Work,Learn new skills,Low,162,98,0.64,2023-04-02 10:00:00,130,Under,Fair
Attending training session,Work,Learn new skills,Low,129,138,0.84,2023-03-31 16:00:00,250,Over,Good
Code review,Learning,Code collaboratively,High,94,67,0.62,2023-03-30 14:00:00,350,Under,Fair
Code refactoring,Learning,Fix errors in code,High,127,106,0.85,2023-03-29 11:00:00,55,Under,Good
Sprint planning,Learning,Review code changes,Low,173,242,0.93,2023-03-30 15:00:00,320,Over,Good
Code review,Learning,Plan upcoming sprint,High,37,38,0.74,2023-03-28 10:00:00,80,Over,Fair
Attending training session,Learning,Submit a functioning solution,Medium,180,212,0.94,2023-04-02 10:00:00,420,Over,Good
Learning new technology,Learning,Learn new programming language,Medium,96,58,0.62,2023-04-04 11:00:00,55,Under,Fair
Writing technical documentation,Work,Code collaboratively,Low,154,190,0.66,2023-03-31 16:00:00,100,Over,Fair
Learning new technology,Work,Learn new programming language,Low,43,30,0.68,2023-03-31 16:00:00,420,Under,Fair
Attending conference,Learning,Plan upcoming sprint,Low,123,112,0.94,2023-04-01 12:00:00,210,Under,Good
Code review,Work,Review code changes,Low,167,210,0.71,2023-03-29 17:00:00,190,Over,Fair
Pair programming,Learning,Refactor existing code,Low,150,109,0.63,2023-03-29 17:00:00,55,Under,Fair
Complete coding challenge,Work,Plan upcoming sprint,Low,172,92,0.85,2023-03-29 11:00:00,220,Under,Good
Code refactoring,Learning,Learn new programming language,Medium,130,105,0.94,2023-04-05 18:00:00,80,Under,Good
Sprint planning,Learning,Network with peers,High,165,169,0.74,2023-04-02 10:00:00,270,Over,Fair
Code review,Work,Network with peers,Medium,81,100,0.65,2023-03-29 11:00:00,190,Over,Fair
Code review,Learning,Discuss project progress,Medium,90,47,0.62,2023-03-28 10:00:00,190,Under,Fair
Attend team meeting,Learning,Network with peers,High,209,257,0.94,2023-04-02 10:00:00,210,Over,Good
Sprint planning,Learning,Learn new programming language,Low,89,96,0.8,2023-04-01 12:00:00,130,Over,Good
Learning new technology,Work,Code collaboratively,Low,61,42,0.88,2023-04-02 10:00:00,190,Under,Good
Writing technical documentation,Work,Refactor existing code,Medium,81,101,0.79,2023-03-29 17:00:00,100,Over,Good
Learning new technology,Work,Plan upcoming sprint,Low,207,122,0.96,2023-03-28 14:00:00,350,Under,Good
Attending training session,Learning,Learn new skills,Medium,163,104,0.86,2023-03-28 14:00:00,220,Under,Good
Attending conference,Learning,Learn new programming language,Low,143,168,0.86,2023-04-01 12:00:00,350,Over,Good
Code review,Work,Refactor existing code,Low,199,136,0.69,2023-03-30 15:00:00,250,Under,Fair
Complete coding challenge,Work,Submit a functioning solution,Low,103,110,0.84,2023-04-04 11:00:00,130,Over,Good
Complete coding challenge,Learning,Fix errors in code,Medium,41,52,0.75,2023-04-04 11:00:00,100,Over,Good
Learning new technology,Work,Submit a functioning solution,High,105,142,0.85,2023-04-02 10:00:00,220,Over,Good
Debugging,Work,Submit a functioning solution,Medium,189,246,0.74,2023-04-02 10:00:00,100,Over,Fair
Code review,Work,Fix errors in code,High,94,105,0.91,2023-03-28 14:00:00,350,Over,Good
Complete coding challenge,Learning,Code collaboratively,High,70,59,0.87,2023-03-29 11:00:00,210,Under,Good
Sprint planning,Learning,Network with peers,Medium,192,265,0.73,2023-03-29 11:00:00,55,Over,Fair
Code refactoring,Work,Code collaboratively,High,185,173,0.85,2023-03-31 16:00:00,170,Under,Good
Learning new technology,Learning,Learn new programming language,Low,231,121,0.73,2023-03-29 11:00:00,130,Under,Fair
Attending conference,Work,Learn new skills,Low,184,214,0.8,2023-04-05 18:00:00,210,Over,Good
Sprint planning,Learning,Submit a functioning solution,Low,51,27,0.85,2023-03-28 10:00:00,270,Under,Good
Learning new technology,Learning,Write technical document,Medium,226,121,0.91,2023-03-31 16:00:00,320,Under,Good
Complete coding challenge,Learning,Review code changes,Low,40,32,0.87,2023-04-01 12:00:00,130,Under,Good
Debugging,Work,Plan upcoming sprint,Medium,112,141,0.83,2023-03-29 17:00:00,55,Over,Good
Learning new technology,Learning,Discuss project progress,Low,97,141,0.61,2023-03-29 11:00:00,270,Over,Fair
Complete coding challenge,Learning,Learn new skills,Low,94,57,0.77,2023-03-28 14:00:00,55,Under,Good
Debugging,Work,Write technical document,High,47,44,0.76,2023-03-30 15:00:00,210,Under,Good
Complete coding challenge,Learning,Learn new programming language,High,48,70,0.88,2023-03-29 17:00:00,130,Over,Good
Attending conference,Learning,Learn new programming language,Low,183,263,0.72,2023-04-01 12:00:00,420,Over,Fair
Writing technical documentation,Learning,Refactor existing code,Medium,155,111,0.92,2023-03-31 16:00:00,320,Under,Good
Attending training session,Learning,Fix errors in code,Medium,113,71,0.73,2023-04-04 11:00:00,130,Under,Fair
Attending conference,Learning,Fix errors in code,Low,106,65,0.9,2023-04-01 12:00:00,170,Under,Good
Complete coding challenge,Learning,Learn new skills,Low,151,182,0.91,2023-03-28 14:00:00,100,Over,Good
Learning new technology,Learning,Plan upcoming sprint,High,156,81,0.74,2023-03-30 15:00:00,350,Under,Fair
Learning new technology,Work,Learn new skills,Medium,39,49,0.97,2023-03-30 14:00:00,250,Over,Good
Code refactoring,Learning,Code collaboratively,Low,121,137,0.63,2023-03-30 14:00:00,250,Over,Fair
Code refactoring,Learning,Fix errors in code,Low,222,267,0.94,2023-04-02 10:00:00,80,Over,Good
Code refactoring,Learning,Discuss project progress,High,68,95,0.73,2023-03-30 14:00:00,270,Over,Fair
Debugging,Learning,Submit a functioning solution,High,105,57,0.72,2023-03-30 15:00:00,320,Under,Fair
Code review,Learning,Review code changes,Medium,203,211,0.7,2023-04-04 11:00:00,100,Over,Fair
Attend team meeting,Work,Write technical document,High,209,155,0.64,2023-03-29 11:00:00,270,Under,Fair
Attending conference,Work,Network with peers,Low,168,219,0.77,2023-04-04 11:00:00,210,Over,Good
Code refactoring,Work,Learn new skills,Medium,101,115,0.8,2023-03-28 10:00:00,350,Over,Good
Debugging,Work,Learn new skills,Low,186,95,0.61,2023-03-28 14:00:00,350,Under,Fair
Writing technical documentation,Work,Plan upcoming sprint,Low,39,38,0.8,2023-04-01 12:00:00,170,Under,Good
Debugging,Work,Fix errors in code,High,130,129,0.79,2023-04-01 12:00:00,270,Under,Good
Writing technical documentation,Work,Submit a functioning solution,Medium,97,69,0.77,2023-03-28 14:00:00,130,Under,Good
Attending conference,Learning,Plan upcoming sprint,Medium,135,156,0.76,2023-03-31 16:00:00,110,Over,Good
Sprint planning,Work,Plan upcoming sprint,High,202,206,0.78,2023-03-28 14:00:00,420,Over,Good
Sprint planning,Work,Refactor existing code,Low,143,182,0.91,2023-03-28 14:00:00,350,Over,Good
Attending training session,Work,Learn new skills,Medium,56,47,0.78,2023-03-31 16:00:00,320,Under,Good
Writing technical documentation,Learning,Learn new skills,High,99,63,0.78,2023-03-30 14:00:00,220,Under,Good
Learning new technology,Work,Plan upcoming sprint,Low,37,32,0.68,2023-04-01 12:00:00,250,Under,Fair
Writing technical documentation,Learning,Code collaboratively,Medium,98,82,0.64,2023-04-05 18:00:00,270,Under,Fair
Writing technical documentation,Learning,Discuss project progress,Low,184,165,0.84,2023-03-29 17:00:00,210,Under,Good
Attending training session,Work,Learn new programming language,Medium,43,43,0.94,2023-04-05 18:00:00,320,Accurate,Excellent
Learning new technology,Work,Learn new skills,Low,57,39,0.69,2023-04-04 11:00:00,55,Under,Fair
Code review,Learning,Review code changes,Medium,212,242,0.62,2023-03-31 16:00:00,250,Over,Fair
Sprint planning,Learning,Review code changes,Medium,60,70,0.92,2023-04-02 10:00:00,210,Over,Good
Sprint planning,Work,Write technical document,Medium,161,141,0.94,2023-03-31 16:00:00,220,Under,Good
Attending conference,Learning,Write technical document,Medium,164,157,0.81,2023-03-31 16:00:00,320,Under,Good
Attending conference,Learning,Code collaboratively,High,43,23,0.84,2023-03-30 14:00:00,270,Under,Good
Attending training session,Work,Discuss project progress,Low,132,177,0.76,2023-03-31 16:00:00,210,Over,Good
Sprint planning,Work,Write technical document,Medium,206,242,0.85,2023-03-30 14:00:00,320,Over,Good
Pair programming,Work,Network with peers,Medium,145,84,0.72,2023-03-30 15:00:00,320,Under,Fair
Sprint planning,Work,Network with peers,High,106,113,0.87,2023-03-31 16:00:00,210,Over,Good
Code review,Learning,Submit a functioning solution,Medium,171,190,0.65,2023-04-05 18:00:00,420,Over,Fair
Attend team meeting,Learning,Review code changes,High,221,204,0.83,2023-04-05 18:00:00,350,Under,Good
Code review,Work,Write technical document,Medium,63,47,0.78,2023-03-29 11:00:00,250,Under,Good
Learning new technology,Learning,Refactor existing code,High,43,42,0.79,2023-04-02 10:00:00,170,Under,Good
Attending training session,Learning,Submit a functioning solution,Medium,188,201,0.97,2023-03-29 17:00:00,80,Over,Good
Code review,Learning,Write technical document,Medium,168,186,0.88,2023-03-28 14:00:00,220,Over,Good
Sprint planning,Work,Code collaboratively,Low,146,95,0.67,2023-03-30 15:00:00,270,Under,Fair
Attending training session,Learning,Fix errors in code,Low,231,185,0.71,2023-04-02 10:00:00,80,Under,Fair
Attend team meeting,Work,Review code changes,High,105,109,0.93,2023-03-28 14:00:00,80,Over,Good
Attending conference,Work,Learn new skills,High,166,133,0.85,2023-03-28 10:00:00,420,Under,Good
Code refactoring,Learning,Submit a functioning solution,High,232,167,0.89,2023-03-31 16:00:00,350,Under,Good
Learning new technology,Work,Refactor existing code,Medium,102,129,0.61,2023-04-05 18:00:00,220,Over,Fair
Attending training session,Work,Learn new programming language,Medium,83,110,0.76,2023-04-02 10:00:00,130,Over,Good
Attend team meeting,Work,Fix errors in code,Medium,60,78,0.91,2023-04-05 18:00:00,100,Over,Good
Code review,Work,Write technical document,Low,207,242,0.95,2023-04-01 12:00:00,350,Over,Good
Pair programming,Work,Code collaboratively,High,178,155,0.71,2023-04-04 11:00:00,100,Under,Fair
Sprint planning,Work,Submit a functioning solution,High,193,123,0.85,2023-03-30 14:00:00,350,Under,Good
Sprint planning,Learning,Refactor existing code,Medium,185,181,1.0,2023-03-28 10:00:00,350,Under,Good
Complete coding challenge,Work,Submit a functioning solution,Medium,43,46,0.6,2023-04-04 11:00:00,420,Over,Fair
Debugging,Learning,Refactor existing code,Medium,212,164,0.8,2023-04-01 12:00:00,320,Under,Good
Attend team meeting,Work,Discuss project progress,Low,193,158,0.79,2023-04-05 18:00:00,350,Under,Good
Debugging,Work,Write technical document,High,180,170,0.75,2023-03-29 17:00:00,55,Under,Good
Code refactoring,Work,Submit a functioning solution,Low,211,140,0.88,2023-04-01 12:00:00,350,Under,Good
Complete coding challenge,Work,Write technical document,Low,182,114,0.7,2023-04-04 11:00:00,250,Under,Fair
Attending training session,Work,Discuss project progress,High,43,58,0.94,2023-03-29 17:00:00,190,Over,Good
Attending conference,Work,Learn new skills,Low,174,142,0.82,2023-04-01 12:00:00,220,Under,Good
Sprint planning,Work,Code collaboratively,High,33,46,0.8,2023-03-28 10:00:00,190,Over,Good
Attend team meeting,Work,Review code changes,High,96,104,0.67,2023-03-31 16:00:00,190,Over,Fair
Writing technical documentation,Work,Fix errors in code,Medium,80,64,0.6,2023-03-29 17:00:00,210,Under,Fair
Code review,Learning,Review code changes,Medium,240,345,0.85,2023-03-30 15:00:00,350,Over,Good
Pair programming,Learning,Plan upcoming sprint,Low,196,199,0.6,2023-04-05 18:00:00,320,Over,Fair
Complete coding challenge,Learning,Learn new skills,Medium,155,230,0.89,2023-03-30 15:00:00,320,Over,Good
Debugging,Learning,Network with peers,High,136,168,0.6,2023-03-28 10:00:00,190,Over,Fair
Attending conference,Work,Write technical document,Medium,119,173,0.69,2023-04-04 11:00:00,270,Over,Fair
Complete coding challenge,Learning,Submit a functioning solution,Low,67,47,0.85,2023-04-01 12:00:00,80,Under,Good
Attending training session,Work,Review code changes,Medium,147,131,0.68,2023-04-01 12:00:00,250,Under,Fair
Writing technical documentation,Work,Learn new programming language,Low,209,121,0.63,2023-03-28 10:00:00,210,Under,Fair
Writing technical documentation,Work,Network with peers,Medium,59,76,0.78,2023-04-05 18:00:00,55,Over,Good
Attending training session,Work,Discuss project progress,Low,110,163,0.74,2023-03-31 16:00:00,220,Over,Fair
Sprint planning,Learning,Write technical document,Low,148,133,0.65,2023-03-30 15:00:00,270,Under,Fair
Writing technical documentation,Learning,Network with peers,Low,162,81,0.76,2023-04-02 10:00:00,55,Under,Good
Attending training session,Learning,Learn new skills,Low,122,151,0.68,2023-03-29 11:00:00,190,Over,Fair
Debugging,Learning,Review code changes,Medium,160,137,0.88,2023-04-01 12:00:00,55,Under,Good
Attend team meeting,Learning,Discuss project progress,High,80,82,0.9,2023-04-02 10:00:00,350,Over,Good
Attend team meeting,Work,Discuss project progress,Low,171,179,0.85,2023-04-01 12:00:00,270,Over,Good
Complete coding challenge,Work,Learn new programming language,Medium,128,172,0.66,2023-03-28 10:00:00,210,Over,Fair
Code review,Learning,Submit a functioning solution,Low,61,59,0.6,2023-04-01 12:00:00,350,Under,Fair
Learning new technology,Work,Review code changes,High,115,111,0.88,2023-04-05 18:00:00,250,Under,Good
Sprint planning,Work,Review code changes,Medium,139,81,0.87,2023-03-28 14:00:00,100,Under,Good
Attending conference,Learning,Plan upcoming sprint,High,55,63,0.77,2023-03-31 16:00:00,110,Over,Good
Writing technical documentation,Learning,Write technical document,High,136,107,0.91,2023-03-28 10:00:00,210,Under,Good
Attending conference,Learning,Learn new skills,Medium,198,160,1.0,2023-04-05 18:00:00,100,Under,Good
Attending conference,Learning,Refactor existing code,High,87,126,0.69,2023-04-04 11:00:00,210,Over,Fair
